"Tool:","Eeschema (5.0.0)"
"Generator:","C:\Programs\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","30"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","A1","Arduino_Pro_Mini","MCU_Module:Arduino_Nano_v2.x","Module:Arduino_Nano","https://www.arduino.cc/en/uploads/Main/ArduinoNanoManual23.pdf"
"","","C1","2.2u","Device:C","","~"
"","","C2","2.2u","Device:C","","~"
"","","C3","2.2u","Device:C","","~"
"","","D1","D_Bridge_+-AA","Device:D_Bridge_+-AA","","~"
"","","DS1","16x2_Display","Display_Character:WC1602A","Display:WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf"
"","","F1","1A","Device:Fuse","","~"
"","","J1","Load","Connector:Screw_Terminal_01x02","","~"
"","","J2","Bat","Connector:Screw_Terminal_01x02","","~"
"","","JP1","Jumper_NO_Small","Device:Jumper_NO_Small","","~"
"","","JP2","Jumper_NO_Small","Device:Jumper_NO_Small","","~"
"","","K1","G5LE-1","Relay:G5LE-1","Relay_THT:Relay_SPDT_Omron-G5LE-1","http://www.omron.com/ecb/products/pdf/en-g5le.pdf"
"","","K2","G5LE-1","Relay:G5LE-1","Relay_THT:Relay_SPDT_Omron-G5LE-1","http://www.omron.com/ecb/products/pdf/en-g5le.pdf"
"","","P1","Conn_WallPlug","Connector:Conn_WallPlug","","~"
"","","PS1","AC-DC","Converter_ACDC:HS-40005","Converter_ACDC:Converter_ACDC_Hahn_HS-400xx_THT","http://www.tme.eu/de/Document/996b08915f81126361ce1f9c12d2f8b9/HS40005.pdf"
"","","Q1","BC337","Transistor_BJT:BC337","Package_TO_SOT_THT:TO-92_Inline","http://www.nxp.com/documents/data_sheet/BC817_BC817W_BC337.pdf"
"","","Q2","BC337","Transistor_BJT:BC337","Package_TO_SOT_THT:TO-92_Inline","http://www.nxp.com/documents/data_sheet/BC817_BC817W_BC337.pdf"
"","","R1","33k","Device:R","","~"
"","","R2","560","Device:R","","~"
"","","R3","1k2","Device:R","","~"
"","","R4","22k","Device:R","","~"
"","","R5","11k","Device:R","","~"
"","","R6","1k2","Device:R","","~"
"","","R7","22k","Device:R","","~"
"","","R8","11k","Device:R","","~"
"","","RV1","10k","Device:R_POT","","~"
"","","SW1","SW_SPST","Switch:SW_SPST","",""
"","","SW2","SW_DPST","Switch:SW_DPST","",""
"","","SW3","Mode","Switch:SW_Push","",""
"","","U1","ACS712-Module","Sensor_Current:ACS712xLCTR-05B","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx?la=en"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","A1","Arduino_Pro_Mini","MCU_Module:Arduino_Nano_v2.x","Module:Arduino_Nano","https://www.arduino.cc/en/uploads/Main/ArduinoNanoManual23.pdf"
"2","3","C1, C2, C3","2.2u","Device:C","","~"
"3","1","D1","D_Bridge_+-AA","Device:D_Bridge_+-AA","","~"
"4","1","DS1","16x2_Display","Display_Character:WC1602A","Display:WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf"
"5","1","F1","1A","Device:Fuse","","~"
"6","1","J1","Load","Connector:Screw_Terminal_01x02","","~"
"7","1","J2","Bat","Connector:Screw_Terminal_01x02","","~"
"8","2","JP1, JP2","Jumper_NO_Small","Device:Jumper_NO_Small","","~"
"9","2","K1, K2","G5LE-1","Relay:G5LE-1","Relay_THT:Relay_SPDT_Omron-G5LE-1","http://www.omron.com/ecb/products/pdf/en-g5le.pdf"
"10","1","P1","Conn_WallPlug","Connector:Conn_WallPlug","","~"
"11","1","PS1","AC-DC","Converter_ACDC:HS-40005","Converter_ACDC:Converter_ACDC_Hahn_HS-400xx_THT","http://www.tme.eu/de/Document/996b08915f81126361ce1f9c12d2f8b9/HS40005.pdf"
"12","2","Q1, Q2","BC337","Transistor_BJT:BC337","Package_TO_SOT_THT:TO-92_Inline","http://www.nxp.com/documents/data_sheet/BC817_BC817W_BC337.pdf"
"13","1","R1","33k","Device:R","","~"
"14","1","R2","560","Device:R","","~"
"15","2","R3, R6","1k2","Device:R","","~"
"16","2","R4, R7","22k","Device:R","","~"
"17","2","R5, R8","11k","Device:R","","~"
"18","1","RV1","10k","Device:R_POT","","~"
"19","1","SW1","SW_SPST","Switch:SW_SPST","",""
"20","1","SW2","SW_DPST","Switch:SW_DPST","",""
"21","1","SW3","Mode","Switch:SW_Push","",""
"22","1","U1","ACS712-Module","Sensor_Current:ACS712xLCTR-05B","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx?la=en"
